varietal,state,region,vintage,vintage_rating
syrah,CA,south coast,2003,91
syrah,CA,south coast,2004,89
syrah,CA,south coast,2005,87
syrah,CA,south coast,2006,91
syrah,CA,south coast,2007,95
syrah,CA,south coast,2008,88
syrah,CA,south coast,2009,90
syrah,CA,south coast,2010,90
syrah,CA,south coast,2011,87
syrah,CA,south coast,2012,88
syrah,CA,south coast,2013,88
syrah,CA,south coast,2014,88
syrah,CA,south coast,2015,88
syrah,CA,south coast,2016,88
syrah,CA,south coast,2017,89
syrah,CA,south coast,2018,89
syrah,CA,south coast,2019,89
syrah,CA,south coast,2020,89
zinfadel,CA,sierra foothills,1996,85
zinfadel,CA,sierra foothills,1997,84
zinfadel,CA,sierra foothills,1998,84
zinfadel,CA,sierra foothills,1999,85
zinfadel,CA,sierra foothills,2000,84
zinfadel,CA,sierra foothills,2001,85
zinfadel,CA,sierra foothills,2002,86
zinfadel,CA,sierra foothills,2003,87
zinfadel,CA,sierra foothills,2004,89
zinfadel,CA,sierra foothills,2005,87
zinfadel,CA,sierra foothills,2006,87
zinfadel,CA,sierra foothills,2007,90
zinfadel,CA,sierra foothills,2008,88
zinfadel,CA,sierra foothills,2009,90
zinfadel,CA,sierra foothills,2010,91
zinfadel,CA,sierra foothills,2011,89
zinfadel,CA,sierra foothills,2012,92
zinfadel,CA,sierra foothills,2013,93
zinfadel,CA,sierra foothills,2014,93
zinfadel,CA,sierra foothills,2015,94
zinfadel,CA,sierra foothills,2016,94
zinfadel,CA,sierra foothills,2017,89
zinfadel,CA,sierra foothills,2018,93
zinfadel,CA,sierra foothills,2019,91
zinfadel,CA,sierra foothills,2020,92
pinot noir,OR,willamette valley,1996,87
pinot noir,OR,willamette valley,1997,84
pinot noir,OR,willamette valley,1998,82
pinot noir,OR,willamette valley,1999,94
pinot noir,OR,willamette valley,2000,91
pinot noir,OR,willamette valley,2001,89
pinot noir,OR,willamette valley,2002,88
pinot noir,OR,willamette valley,2003,86
pinot noir,OR,willamette valley,2004,92
pinot noir,OR,willamette valley,2005,89
pinot noir,OR,willamette valley,2006,94
pinot noir,OR,willamette valley,2007,86
pinot noir,OR,willamette valley,2008,92
pinot noir,OR,willamette valley,2009,91
pinot noir,OR,willamette valley,2010,87
pinot noir,OR,willamette valley,2011,89
pinot noir,OR,willamette valley,2012,93
pinot noir,OR,willamette valley,2013,92
pinot noir,OR,willamette valley,2014,93
pinot noir,OR,willamette valley,2015,95
pinot noir,OR,willamette valley,2016,91
pinot noir,OR,willamette valley,2017,93
pinot noir,OR,willamette valley,2018,92
pinot noir,OR,willamette valley,2019,91
pinot noir,OR,willamette valley,2020,85
cabernet sauvignon,WA,columbia valley,1996,86
cabernet sauvignon,WA,columbia valley,1997,87
cabernet sauvignon,WA,columbia valley,1998,91
cabernet sauvignon,WA,columbia valley,1999,96
cabernet sauvignon,WA,columbia valley,2000,88
cabernet sauvignon,WA,columbia valley,2001,92
cabernet sauvignon,WA,columbia valley,2002,94
cabernet sauvignon,WA,columbia valley,2003,92
cabernet sauvignon,WA,columbia valley,2004,89
cabernet sauvignon,WA,columbia valley,2005,95
cabernet sauvignon,WA,columbia valley,2006,92
cabernet sauvignon,WA,columbia valley,2007,93
cabernet sauvignon,WA,columbia valley,2008,92
cabernet sauvignon,WA,columbia valley,2009,90
cabernet sauvignon,WA,columbia valley,2010,92
cabernet sauvignon,WA,columbia valley,2011,89
cabernet sauvignon,WA,columbia valley,2012,95
cabernet sauvignon,WA,columbia valley,2013,91
cabernet sauvignon,WA,columbia valley,2014,93
cabernet sauvignon,WA,columbia valley,2015,90
cabernet sauvignon,WA,columbia valley,2016,90
cabernet sauvignon,WA,columbia valley,2017,91
cabernet sauvignon,WA,columbia valley,2018,95
cabernet sauvignon,WA,columbia valley,2019,92
cabernet sauvignon,WA,columbia valley,2020,91
syrah,WA,columbia valley,1996,88
syrah,WA,columbia valley,1997,87
syrah,WA,columbia valley,1998,89
syrah,WA,columbia valley,1999,92
syrah,WA,columbia valley,2000,88
syrah,WA,columbia valley,2001,93
syrah,WA,columbia valley,2002,94
syrah,WA,columbia valley,2003,91
syrah,WA,columbia valley,2004,90
syrah,WA,columbia valley,2005,93
syrah,WA,columbia valley,2006,91
syrah,WA,columbia valley,2007,89
syrah,WA,columbia valley,2008,90
syrah,WA,columbia valley,2009,91
syrah,WA,columbia valley,2010,89
syrah,WA,columbia valley,2011,91
syrah,WA,columbia valley,2012,95
syrah,WA,columbia valley,2013,90
syrah,WA,columbia valley,2014,90
syrah,WA,columbia valley,2015,91
syrah,WA,columbia valley,2016,91
syrah,WA,columbia valley,2017,91
syrah,WA,columbia valley,2018,93
syrah,WA,columbia valley,2019,93
syrah,WA,columbia valley,2020,92
